round,deviceId,trust,access
5,d70,0,DENIED
5,d71,100,ALLOWED
5,d72,13,DENIED
5,d73,0,DENIED
5,d74,59,ALLOWED
5,d75,100,DENIED
5,d76,82,ALLOWED
5,d77,50,ALLOWED
5,d78,60,ALLOWED
5,d79,88,ALLOWED
5,d80,0,DENIED
5,d81,0,DENIED
5,d82,19,DENIED
5,d83,0,DENIED
5,d84,0,DENIED
5,d85,79,ALLOWED
5,d86,0,DENIED
5,d87,19,DENIED
5,d88,87,ALLOWED
5,d89,32,DENIED
5,d90,37,DENIED
5,d91,56,ALLOWED
5,d92,63,ALLOWED
5,d93,60,DENIED
5,d94,0,DENIED
5,d95,0,DENIED
5,d96,0,DENIED
5,d97,100,ALLOWED
5,d98,43,DENIED
5,d99,92,DENIED
5,d100,0,DENIED
